𥒛: zhèng
𥒞: yáng
𥒠: huò
𥒡: jí
𥒢: nǎo lì
𥒧: yà
𥒨: lù
𥒫: fū
𥒬: sǎn
𥒭: chù
𥒮: wěi
𥒰: fǔ
𥒱: kēng
𥒲: sì
𥒳: kàng
𥒵: yì
𥒶: huà
𥒾: yǔ
𥓃: lì
𥓆: lǐn
𥓇: dǔ
𥓈: è
𥓌: qiǎng
𥓍: dú
𥓐: jié
𥓑: chuò
𥓒: xiàn kàn
𥓖: gǎo
𥓬: dào
𥓰: hōng
𥓻: zōng
𥓾: qì
𥓿: tuó
𥔀: hōng
𥔁: pǐ
𥔂: gèng
𥔄: niè
𥔇: kōng
𥔊: zhǐ
𥔑: xiǎo
𥔡: shè
𥔢: yú
𥔣: jiāng
𥔩: qǐ
𥔪: chěn
𥔫: sǎng
𥔭: suǒ
𥔮: qián
𥔯: huì
𥔱: shàn
𥔲: è
𥔻: qiū
𥔽: kè
𥕀: wēng
𥕁: zī
𥕂: jí
𥕇: dǎ
𥕉: cuò
𥕍: lǒu
𥕎: kāng
𥕏: kuò
𥕐: dí
𥕑: qiē jū
𥕓: mò
𥕖: guǒ
𥕗: hōng
𥕘: cháo suǒ
𥕙: hēi
𥕢: cáo
𥕣: zhé
𥕦: gǔn
𥕰: xū
𥕱: péng pēng
𥕲: jué
𥕵: gǎn
𥕶: sī
𥕸: suì
𥕹: què
𥕻: wú wǔ
𥕼: yán
𥕽: pèng
𥕾: xiǎo
𥕿: pān
𥖍: là
𥖗: bèng
𥖘: zhěn
𥖙: jí
𥖜: jǐn
𥖝: lián
𥖞: kěn
𥖠: zhóu dú
𥖨: zào
𥖪: lè
𥖫: qī
𥖬: bìng
𥖵: yǐn
𥖶: pīn
𥖻: sǒu
𥖼: lǜ
𥖾: dí
𥖿: dú
𥗀: liǎo
𥗁: zhuó
𥗊: chǎng
𥗒: chèn
𥗓: tà
𥗙: què
𥗚: dào
𥗝: rǎng
𥗟: pò
𥗦: zhōng
𥗧: xiē
𥗪: jiāng
𥗫: qú
𥗬: lěi
𥗭: cà
𥗮: quē
𥗵: xiàng
𥗶: lèi
𥗺: làn
𥗽: lán
𥗿: lǎ
𥘁: lǎ
𥘄: yù
𥘊: jiào
𥘋: qín
𥘌: jī
𥘏: gǎn
𥘒: yì
𥘠: yì
𥘡: zhī
𥘤: biǎo
𥘥: shēng
𥘦: jiù shè
𥘫: hē
𥘬: fú
𥘮: jū
𥙀: zuǒ
𥙁: yí
𥙆: xiàn zhī
𥙇: yí
𥙉: sì tái
𥙋: chuì
𥙎: mò
𥙡: zhān
𥙣: xún
𥙦: rú
𥙨: huò
𥙬: shāo
𥙰: shòu
𥙾: yòu
𥙿: yù
𥚂: jùn
𥚉: zī
𥚊: lù
𥚚: chǐ
𥚛: kūn
𥚠: zhùn
𥚦: hóu
𥚩: xǔ
𥚾: zōng
𥚿: yìng
𥛂: zhū
𥛅: liù
𥛑: nù
𥛘: bì
𥛚: chì
𥛜: zǔ
𥛝: féng
𥛞: lù
𥛟: pǔ
𥛥: zhuàn
𥛧: zhé
𥛨: shī
𥛩: yǔ
𥛪: lù
𥛫: liáng
𥛯: jué
𥛰: liào
𥛱: bēng
𥜃: yì
𥜄: guān
𥜌: ǎo
𥜏: guì
𥜐: mǐn
𥜒: yǎn
𥜓: lán
𥜖: bó
𥜙: zàn
𥜚: yǒu
𥜥: yì
𥜦: nǐ xiǎn
𥜬: nǐ xiǎn
𥜭: guǒ
𥜮: jùn
𥜰: shī
𥜲: xiǎn jiǎn
𥜴: qiān
𥜵: què
𥜶: kuí
𥝀: shé
𥝂: huò
𥝄: wàn
𥝊: fèi
𥝋: fèi
𥝌: jī
𥝍: yù wáng
𥝑: zhī
𥝒: guà
𥝔: jié
𥝕: máng
𥝖: hé xié
𥝘: yǒu
𥝟: dù
𥝠: sī xiù
𥝢: lì
𥝥: jié
𥝦: niǔ
𥝧: bà
𥝨: yú
𥝮: zhī
𥝸: hé
𥝹: kē
𥝾: dù zhà
𥝿: jiā
𥞁: chēn
𥞃: chuì shù
𥞄: hé
𥞅: zhǎi
𥞊: mèi
𥞍: hé
𥞎: zǐ
𥞏: zhú
𥞒: tuó
𥞘: zùn
𥞚: rú
𥞛: duò
𥞜: jiàng
𥞧: héng
𥞩: bēng hé
𥞪: mò mǐ
𥞯: zú
𥞲: biē
𥞴: kù
𥞵: jiá
𥞺: zhuō
𥞼: xiū
𥟃: hé
𥟅: qiāo
𥟍: fěi
𥟎: shēng
𥟒: zhuì
𥟓: kuǎn
𥟔: zè
𥟕: xiān
𥟗: bì
𥟘: yì
𥟚: chàng
𥟪: mào
𥟶: wǎn
𥟽: wū
𥟾: kū
𥟿: wǒ
𥠀: xīng
𥠁: kē
𥠃: jiū
𥠄: duān
𥠅: huàn
𥠈: zhì jì
𥠉: cè
𥠊: róu
𥠋: jí
𥠍: yè
𥠛: jīng
𥠜: yàng
𥠡: zǒng
𥠩: cǎn
𥠱: sī
𥠲: lì
𥠳: gǔ
𥠴: chàng
𥠶: fěi
𥠷: liú
𥠹: jié
𥠺: yūn
𥠽: zhì
𥡀: chóu
𥡁: biē
𥡒: jī
𥡜: luó suì
𥡝: jiān qiān
𥡟: chuāng
𥡠: shuǎng
𥡢: lǜ
𥡣: jùn
𥡤: jiào
𥡦: tì dì
𥡧: zhā
𥡪: yì
𥡬: cōng
𥡭: něi
𥡮: jiā
𥡴: jì
𥡽: ài
𥢇: jiǎn
𥢊: bèn
𥢌: fán
𥢍: hù suì
𥢎: zùn
𥢏: diàn
𥢐: gāo
𥢑: gǎo hào
𥢒: láo lào
𥢔: zhuó zhào
𥢟: hù
𥢢: tuí
𥢦: bì
𥢧: jú yì
𥢮: huá
𥢲: chéng
𥢶: kuài
𥢷: dāng
𥢸: gé
𥢹: xié
𥢻: jié
𥢽: cān
𥣆: zú
𥣈: pú
𥣋: shǔ
𥣌: bǔ
𥣗: níng
𥣘: yǎn
𥣙: zhòu còng
𥣛: méng
𥣝: biǎn
𥣟: xiàng
𥣤: lù
𥣥: lí
𥣩: jì
𥣫: miè
𥣬: lèi
𥣮: zhì
𥣯: yōu
𥣰: biǎn
𥣸: mù
𥣹: ràn
𥣺: ràn
𥤂: niǎo
𥤊: quán
𥤋: zhé
𥤐: lèi léi
𥤗: dǎng
𥤘: jué
𥤜: líng
𥤞: líng
𥤟: yán
𥤣: yǎo
𥤤: zhèn
𥤥: qī
𥤦: ài
𥤨: nú
𥤩: mǎng
𥤱: kǎn hān
𥤳: jiū cuàn
𥤴: yǎn
𥤵: miàn
𥤷: yín
𥤸: wán
𥤹: yào yǎo
𥤺: wā
𥤻: pí
𥤼: suì
𥥅: kǒng
𥥈: hóng wòng
𥥊: mǐng
𥥋: líng
𥥌: yì dié
𥥍: shēn shèn
𥥏: zuò
𥥛: tū bá
𥥝: yòng
𥥟: wà
𥥠: guǐ
𥥡: hòng
𥥥: shì
𥥧: xiòng
𥥩: ā xiàng
𥥱: chéng
𥥳: kēng
𥥴: yì
𥥵: yàng
𥥶: tíng
𥥷: dòu
𥥸: chá
𥥹: liù
𥥽: qiú
𥥾: xuǎn
𥥿: shēn
𥦀: kuān mì
𥦁: tòng
𥦃: qiǎn
𥦅: chòu
𥦊: wěn
