𨇃: cuó zuān
𨇄: rǎo
𨇅: bào
𨇆: lài
𨇍: niǎn
𨇎: lí
𨇕: jiǎo
𨇖: lú
𨇗: lì
𨇘: lóng
𨇙: guì
𨇝: chǎn
𨇤: xiān
𨇦: chàn
𨇨: xiè
𨇩: zhàn
𨇯: shuāng
𨇻: mǐ
𨇼: luán
𨇽: luò
𨈀: diān
𨈈: dié
𨈊: wān
𨈋: yuè
𨈌: luán
𨈎: luán
𨈓: léng
𨈕: wǎi
𨈖: dìn
𨈗: nèn
𨈘: shǎo
𨈙: xiè zhī
𨈚: pí
𨈥: máo
𨈧: yǐn
𨈩: bó
𨈫: zhù
𨈮: chōng
𨈶: mǔ
𨈷: tuó
𨈹: tǒng
𨈺: yé
𨉁: huàng
𨉃: rèn
𨉅: yè
𨉋: tuō
𨉖: zuān
𨉗: yù
𨉚: ā
𨉜: zhōu
𨉝: wān
𨉡: duǒ
𨉢: zhòng
𨉣: hā
𨉤: huáng
𨉥: miàn tǐ
𨉩: chūn
𨉪: qiè
𨉫: gōng qiōng
𨉬: tíng
𨉭: méi
𨉱: tàng
𨉴: róng
𨉷: róng
𨉸: qí
𨉹: guó
𨉽: xiàng
𨉾: tián
𨊅: xiāo
𨊈: zhān
𨊉: cuì
𨊔: lán
𨊘: shēn qū
𨊚: lěi
𨊛: lì
𨊝: chān
𨊞: niè
𨊟: luán
𨊡: tīng
𨊢: huì sháo
𨊧: gōng
𨊰: qì
𨊱: yú
𨊳: xīn
𨊸: yuè
𨊹: bā
𨊺: dài
𨊻: jī
𨊼: xuàn
𨊿: jué
𨋀: niǔ
𨋈: dù
𨋉: jí
𨋐: pā
𨋑: gǒng
𨋒: bèn
𨋔: kēng jú
𨋕: yàng ǎng
𨋖: liǔ
𨋗: ní
𨋘: zhà
𨋙: yìn
𨋚: niǎn ruǎn
𨋛: pào
𨋝: gōng
𨋞: bù
𨋟: hé
𨋠: rǒng
𨋡: guì
𨋥: bì
𨋦: xī
𨋧: jú
𨋨: hún
𨋩: bì fú
𨋫: tiāo
𨋬: zhěng chèng
𨋮: hōng chūn
𨋯: yì
𨋰: cì
𨋲: bìng
𨋷: gōng
𨋺: fá
𨋽: yáng
𨋾: xǔ
𨌁: hōng
𨌄: zàng
𨌅: chái
𨌆: hóng
𨌈: tián
𨌌: zhī
𨌍: xīng
𨌎: xú
𨌑: zhèn
𨌔: wǎn wàn
𨌘: jùn
𨌝: wò huò
𨌠: lù
𨌢: zhēng
𨌣: rǒng
𨌤: chéng chèng
𨌥: fú
𨌧: è
𨌨: tāo
𨌩: táng
𨌫: juān
𨌬: chào
𨌭: tà
𨌮: dǐ
𨌰: zōng
𨌳: kēng
𨌴: tuī
𨌶: kēng
𨍅: rǒng
𨍆: yūn
𨍇: hé
𨍈: zǒng
𨍉: cōng zǒng
𨍊: qiū
𨍎: mù
𨍏: duó
𨍐: xǔ
𨍑: kēng
𨍒: xiàn jiàn
𨍛: dú
𨍜: kǎn
𨍞: yīng
𨍢: zī
𨍧: huáng
𨍩: péng
𨍫: lì
𨍭: bó pò
𨍮: gé lì
𨍯: jú
𨍰: kē
𨍲: hú gǔn
𨍳: yáo
𨍴: táng
𨍶: qióng
𨍷: rǒng
𨍸: liǔ
𨍹: huì
𨍺: jī
𨎉: zhì
𨎋: táng chēng
𨎌: zhǐ
𨎍: kāng liáng
𨎔: yàng
𨎖: tǎng chǎng
𨎗: hōng
𨎛: liáng
𨎝: cáo
𨎡: nǎi
𨎢: zǒng
𨎤: dèng
𨎦: jiāo
𨎧: péng
𨎩: guāng
𨎪: ér
𨎫: jiàn
𨎬: jiào
𨎭: nuó
𨎮: zǎo
𨎳: péng
𨎴: dāng
𨎶: qú
𨎷: lián
𨎸: mù
𨎹: lǎn
𨎾: fén
𨏂: hún xuān
𨏆: kuāng
𨏈: yǐn
𨏉: shuàn
𨏊: jiàn
𨏒: luò léi
𨏔: lù dú
𨏚: gé
𨏛: rǎng niǎn
𨏞: pín
